id,game_id,series_id,round_number,player_id,player_name,team_id,agent,agent_role,side,kills,deaths,assists,headshots,alive_at_end,current_health,current_armor,clutch_situation
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,57,mwzera,99,jett,Duelist,defender,1,1,0,1,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,19,kon4n,99,sova,Initiator,defender,1,1,1,1,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,3314,havoc,99,kay/o,Initiator,defender,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,51,Khalil,99,cypher,Sentinel,defender,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,11334,Demon1,97,jett,Duelist,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,292,Marved,97,viper,Controller,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,297,Ethan,97,kay/o,Initiator,attacker,1,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,291,crashies,97,sova,Initiator,attacker,1,1,0,2,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,290,Victor,97,cypher,Sentinel,attacker,2,1,0,1,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_14_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,14,45,liazzi,99,viper,Controller,defender,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_14_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,14,57,mwzera,99,jett,Duelist,defender,1,0,1,0,true,85,20,false
