game_id,series_id,map_name,team_id,team_name,composition,duelist_count,controller_count,sentinel_count,initiator_count
122fc792-c9cb-4d19-a241-7e0a15f721aa,2681843,lotus,337,100 Thieves,"omen,viper,raze,fade,killjoy",1,2,1,1
a657c3e0-4dfd-409e-86fd-bd0fefa20044,2681846,haven,1611,Leviatán Esports,"omen,neon,breach,sova,cypher",1,1,1,2
d350fad9-4a06-4d77-ada9-ae685c73c669,2681832,icebox,97,NRG,"viper,jett,kay/o,sova,killjoy",1,1,1,2
38277aa2-5b46-4661-aec7-1638b4bbc72b,2843063,sunset,96,G2 Esports,"omen,neon,fade,chamber,sage",1,1,2,1
09a9a194-c8ae-4883-b774-6187eef9f720,2819678,lotus,281,Evil Geniuses,"clove,viper,raze,fade,chamber",1,2,1,1
c966fd7f-f575-4695-b523-f7864a96e5e3,2819683,sunset,99,FURIA,"omen,viper,neon,sova,sage",1,2,1,1
c966fd7f-f575-4695-b523-f7864a96e5e3,2819683,sunset,1079,Sentinels,"omen,neon,breach,fade,cypher",1,1,1,2
4c38094b-345a-4640-ae9e-7680dbabe4d2,2819680,sunset,97,NRG,"omen,viper,neon,sova,deadlock",1,2,1,1
1ea22d41-5b4f-4573-af44-f0d9bc541cda,2819695,lotus,97,NRG,"omen,viper,raze,fade,vyse",1,2,1,1
beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,2819700,sunset,48457,KRÜ Esports,"omen,neon,yoru,sova,cypher",2,1,1,1
aea682e5-53b3-4078-858f-a8b5f8ae2624,2819701,sunset,337,100 Thieves,"omen,neon,yoru,sova,cypher",2,1,1,1
bf3e378e-0a78-499f-8bd7-75dbcb99f86b,2819705,icebox,81,MIBR (1),"harbor,viper,jett,sova,killjoy",1,2,1,1
c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,icebox,337,100 Thieves,"viper,jett,gekko,sova,killjoy",1,1,1,2
1eb0c429-4511-4516-b23c-33aed7cc6eed,2748744,bind,81,MIBR (1),"brimstone,raze,skye,cypher,deadlock",1,1,2,1
02a970c8-2081-4843-83de-cf56f95de820,2748764,bind,48457,KRÜ Esports,"brimstone,viper,raze,skye,vyse",1,2,1,1
36e8dca6-6f5a-4b5d-a81c-4bcd9ef5d627,2748766,abyss,96,G2 Esports,"astra,yoru,breach,sova,chamber",1,1,1,2
763e4073-e01e-4a09-8743-6fcbf2c2d9e8,2654000,ascent,96,G2 Esports,"omen,jett,kay/o,sova,killjoy",1,1,1,2
c881a53b-abc2-4d63-af9c-c53b2d6c073b,2654002,ascent,96,G2 Esports,"omen,jett,kay/o,sova,killjoy",1,1,1,2
07e14580-ba7e-433d-89a3-74829c2688e8,2654052,bind,96,G2 Esports,"brimstone,viper,raze,gekko,skye",1,2,0,2
fe03185a-024e-48a8-a378-2c0a7a8a64e3,2653972,icebox,281,Evil Geniuses,"harbor,viper,jett,sova,killjoy",1,2,1,1
2bbb4c72-0036-4d88-b13a-43b86bc5b29d,2653973,icebox,1079,Sentinels,"viper,jett,gekko,kay/o,killjoy",1,1,1,2
d78544b9-d29f-4dea-b8df-eca35acd35d3,2653977,icebox,81,MIBR (1),"harbor,viper,jett,sova,killjoy",1,2,1,1
f0bf8623-a619-4d40-b7b2-e5a8662e533a,2653983,bind,1611,Leviatán Esports,"brimstone,viper,raze,gekko,skye",1,2,0,2
06ba8d23-47ee-448b-a906-40dae02b614f,2775985,haven,337,100 Thieves,"omen,iso,neon,sova,cypher",2,1,1,1
