team_id,map_name,side,win_type,count,percentage
53367,ascent,attacker,opponentEliminated,3,17.6
53367,ascent,defender,opponentEliminated,9,52.9
53367,ascent,defender,bombDefused,3,17.6
81,ascent,defender,bombDefused,12,21.8
81,ascent,attacker,bombExploded,5,9.1
81,ascent,defender,opponentEliminated,12,21.8
81,ascent,attacker,opponentEliminated,26,47.3
96,split,defender,timeExpired,8,7.1
96,split,defender,opponentEliminated,22,19.5
96,split,attacker,opponentEliminated,39,34.5
96,split,attacker,bombExploded,21,18.6
96,split,defender,bombDefused,23,20.4
97,icebox,defender,opponentEliminated,10,24.4
97,icebox,attacker,bombExploded,10,24.4
97,icebox,defender,timeExpired,1,2.4
97,icebox,attacker,opponentEliminated,15,36.6
97,icebox,defender,bombDefused,5,12.2
99,lotus,attacker,opponentEliminated,33,51.6
99,lotus,defender,timeExpired,2,3.1
99,lotus,attacker,bombExploded,4,6.3
99,lotus,defender,opponentEliminated,14,21.9
99,lotus,defender,bombDefused,11,17.2
99,pearl,attacker,opponentEliminated,5,62.5
99,pearl,defender,bombDefused,2,25.0
99,pearl,defender,opponentEliminated,1,12.5
1079,sunset,defender,opponentEliminated,9,25.0
1079,sunset,defender,bombDefused,12,33.3
1079,sunset,attacker,bombExploded,2,5.6
1079,sunset,attacker,opponentEliminated,11,30.6
1079,sunset,defender,timeExpired,2,5.6
1611,breeze,defender,bombDefused,5,25.0
1611,breeze,defender,opponentEliminated,9,45.0
1611,breeze,attacker,opponentEliminated,6,30.0
281,fracture,attacker,bombExploded,1,7.7
281,fracture,attacker,opponentEliminated,4,30.8
281,fracture,defender,bombDefused,5,38.5
281,fracture,defender,opponentEliminated,3,23.1
337,ascent,attacker,opponentEliminated,16,32.0
337,ascent,defender,timeExpired,1,2.0
337,ascent,defender,opponentEliminated,22,44.0
337,ascent,defender,bombDefused,7,14.0
337,ascent,attacker,bombExploded,4,8.0
48457,split,attacker,opponentEliminated,18,34.6
48457,split,defender,opponentEliminated,12,23.1
48457,split,attacker,bombExploded,13,25.0
48457,split,defender,bombDefused,8,15.4
48457,split,defender,timeExpired,1,1.9
79,ascent,defender,timeExpired,2,2.4
79,ascent,attacker,bombExploded,8,9.6
79,ascent,defender,opponentEliminated,31,37.3
79,ascent,attacker,opponentEliminated,24,28.9
79,ascent,defender,bombDefused,18,21.7
97,lotus,attacker,bombExploded,9,12.0
97,lotus,defender,bombDefused,18,24.0
97,lotus,attacker,opponentEliminated,26,34.7
97,lotus,defender,timeExpired,2,2.7
97,lotus,defender,opponentEliminated,20,26.7
97,pearl,attacker,bombExploded,4,18.2
97,pearl,defender,opponentEliminated,5,22.7
97,pearl,attacker,opponentEliminated,9,40.9
97,pearl,defender,bombDefused,4,18.2
99,icebox,defender,opponentEliminated,9,15.3
99,icebox,defender,timeExpired,2,3.4
99,icebox,attacker,bombExploded,5,8.5
99,icebox,attacker,opponentEliminated,26,44.1
99,icebox,defender,bombDefused,17,28.8
1079,ascent,defender,opponentEliminated,23,37.7
1079,ascent,attacker,opponentEliminated,15,24.6
1079,ascent,attacker,bombExploded,6,9.8
1079,ascent,defender,bombDefused,14,23.0
1079,ascent,defender,timeExpired,3,4.9
1611,icebox,defender,opponentEliminated,42,21.5
1611,icebox,attacker,opponentEliminated,76,39.0
1611,icebox,attacker,bombExploded,27,13.8
1611,icebox,defender,bombDefused,48,24.6
1611,icebox,defender,timeExpired,2,1.0
337,sunset,attacker,bombExploded,3,5.6
337,sunset,attacker,opponentEliminated,20,37.0
337,sunset,defender,opponentEliminated,20,37.0
337,sunset,defender,timeExpired,1,1.9
337,sunset,defender,bombDefused,10,18.5
48457,abyss,defender,timeExpired,1,3.2
48457,abyss,attacker,opponentEliminated,11,35.5
48457,abyss,defender,bombDefused,10,32.3
