id,game_id,series_id,player_id,player_name,team_id,agent,final_money,final_loadout_value,final_net_worth,total_kills,total_deaths,total_assists,total_headshots
03babb80-c970-443f-a21f-f7a4370a23ad_1193,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,1193,xeppaa,79,kay/o,1000,0,1000,19,17,9,15
dadd1796-2cb3-419b-814b-1260cea71822_90,dadd1796-2cb3-419b-814b-1260cea71822,2629392,90,TenZ,1079,omen,250,200,450,19,16,6,22
dadd1796-2cb3-419b-814b-1260cea71822_94,dadd1796-2cb3-419b-814b-1260cea71822,2629392,94,Zellsis,1079,viper,150,0,150,15,19,7,14
dadd1796-2cb3-419b-814b-1260cea71822_2512,dadd1796-2cb3-419b-814b-1260cea71822,2629392,2512,johnqt,1079,cypher,600,3100,3700,15,14,3,9
dadd1796-2cb3-419b-814b-1260cea71822_287,dadd1796-2cb3-419b-814b-1260cea71822,2629392,287,zekken,1079,raze,500,300,800,22,17,10,14
dadd1796-2cb3-419b-814b-1260cea71822_3260,dadd1796-2cb3-419b-814b-1260cea71822,2629392,3260,Sacy,1079,skye,350,650,1000,7,20,4,7
dadd1796-2cb3-419b-814b-1260cea71822_50,dadd1796-2cb3-419b-814b-1260cea71822,2629392,50,qck1,3412,raze,2300,800,3100,22,16,10,13
dadd1796-2cb3-419b-814b-1260cea71822_1812,dadd1796-2cb3-419b-814b-1260cea71822,2629392,1812,cauanzin,3412,breach,2600,550,3150,18,15,11,16
dadd1796-2cb3-419b-814b-1260cea71822_58,dadd1796-2cb3-419b-814b-1260cea71822,2629392,58,Saadhak,3412,skye,1650,4000,5650,19,20,16,14
dadd1796-2cb3-419b-814b-1260cea71822_28,dadd1796-2cb3-419b-814b-1260cea71822,2629392,28,Less,3412,viper,2550,900,3450,14,13,6,11
dadd1796-2cb3-419b-814b-1260cea71822_272,dadd1796-2cb3-419b-814b-1260cea71822,2629392,272,tuyz,3412,omen,2500,4300,6800,13,14,4,16
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_90,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,90,TenZ,1079,omen,250,750,1000,7,12,4,7
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_94,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,94,Zellsis,1079,kay/o,650,4100,4750,11,13,11,8
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_2512,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,2512,johnqt,1079,killjoy,50,200,250,14,13,8,18
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_287,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,287,zekken,1079,jett,750,550,1300,14,16,12,9
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_3260,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,3260,Sacy,1079,sova,0,150,150,24,14,13,22
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_50,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,50,qck1,3412,phoenix,7100,5350,12450,17,13,12,11
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_1812,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,1812,cauanzin,3412,breach,1500,3900,5400,18,13,13,13
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_58,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,58,Saadhak,3412,kay/o,5250,6150,11400,11,14,7,13
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_28,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,28,Less,3412,viper,3500,400,3900,15,16,9,13
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_272,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,272,tuyz,3412,omen,4800,4100,8900,7,14,6,5
6a2cd9d2-b105-44fc-a573-22daf50c2265_296,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,296,Asuna,337,raze,50,300,350,10,19,1,8
6a2cd9d2-b105-44fc-a573-22daf50c2265_2361,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,2361,Cryo,337,brimstone,2400,500,2900,15,16,4,10
6a2cd9d2-b105-44fc-a573-22daf50c2265_2345,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,2345,Boostio,337,gekko,450,300,750,22,18,15,19
6a2cd9d2-b105-44fc-a573-22daf50c2265_727,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,727,bang,337,viper,750,4400,5150,6,15,1,8
6a2cd9d2-b105-44fc-a573-22daf50c2265_2341,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,2341,eeiu,337,fade,0,750,750,11,16,5,10
6a2cd9d2-b105-44fc-a573-22daf50c2265_14,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,14,aspas,1611,raze,3800,500,4300,31,15,24,17
6a2cd9d2-b105-44fc-a573-22daf50c2265_2515,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,2515,C0M,1611,skye,3450,400,3850,17,12,10,7
6a2cd9d2-b105-44fc-a573-22daf50c2265_207,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,207,kiNgg,1611,viper,4700,4600,9300,10,15,3,7
6a2cd9d2-b105-44fc-a573-22daf50c2265_2343,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,2343,tex,1611,gekko,3850,4750,8600,9,10,1,11
6a2cd9d2-b105-44fc-a573-22daf50c2265_74,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,74,Mazino,1611,harbor,3400,4700,8100,17,12,7,10
b1185c74-f70d-413f-a941-9240e9708890_296,b1185c74-f70d-413f-a941-9240e9708890,2629393,296,Asuna,337,raze,2900,300,3200,18,10,7,13
b1185c74-f70d-413f-a941-9240e9708890_2361,b1185c74-f70d-413f-a941-9240e9708890,2629393,2361,Cryo,337,astra,5100,3550,8650,15,7,3,12
b1185c74-f70d-413f-a941-9240e9708890_2345,b1185c74-f70d-413f-a941-9240e9708890,2629393,2345,Boostio,337,gekko,2850,3250,6100,10,8,3,9
b1185c74-f70d-413f-a941-9240e9708890_727,b1185c74-f70d-413f-a941-9240e9708890,2629393,727,bang,337,viper,3000,900,3900,15,10,2,15
b1185c74-f70d-413f-a941-9240e9708890_2341,b1185c74-f70d-413f-a941-9240e9708890,2629393,2341,eeiu,337,fade,3750,4400,8150,17,6,6,8
b1185c74-f70d-413f-a941-9240e9708890_14,b1185c74-f70d-413f-a941-9240e9708890,2629393,14,aspas,1611,raze,0,400,400,10,15,1,11
b1185c74-f70d-413f-a941-9240e9708890_2515,b1185c74-f70d-413f-a941-9240e9708890,2629393,2515,C0M,1611,sova,50,0,50,6,15,5,5
b1185c74-f70d-413f-a941-9240e9708890_207,b1185c74-f70d-413f-a941-9240e9708890,2629393,207,kiNgg,1611,breach,150,250,400,11,15,7,8
b1185c74-f70d-413f-a941-9240e9708890_2343,b1185c74-f70d-413f-a941-9240e9708890,2629393,2343,tex,1611,cypher,50,0,50,6,16,5,7
b1185c74-f70d-413f-a941-9240e9708890_74,b1185c74-f70d-413f-a941-9240e9708890,2629393,74,Mazino,1611,omen,50,350,400,7,14,4,8
c924abac-da36-42b3-b78f-f0c51fdb34f2_296,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,296,Asuna,337,gekko,250,300,550,9,18,4,4
c924abac-da36-42b3-b78f-f0c51fdb34f2_2361,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,2361,Cryo,337,jett,450,1150,1600,21,19,2,9
c924abac-da36-42b3-b78f-f0c51fdb34f2_2345,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,2345,Boostio,337,killjoy,150,0,150,20,19,2,14
c924abac-da36-42b3-b78f-f0c51fdb34f2_727,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,727,bang,337,viper,2000,200,2200,19,18,6,16
c924abac-da36-42b3-b78f-f0c51fdb34f2_2341,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,2341,eeiu,337,sova,150,300,450,12,20,5,7
c924abac-da36-42b3-b78f-f0c51fdb34f2_14,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,14,aspas,1611,reyna,700,3900,4600,25,14,9,19
