id,game_id,series_id,map_name,team_id,team_name,agent,agent_role,player_id,player_name
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_3412_omen,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,3412,LOUD,omen,Controller,272,tuyz
6a2cd9d2-b105-44fc-a573-22daf50c2265_337_raze,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,337,100 Thieves,raze,Duelist,296,Asuna
6a2cd9d2-b105-44fc-a573-22daf50c2265_337_brimstone,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,337,100 Thieves,brimstone,Controller,2361,Cryo
6a2cd9d2-b105-44fc-a573-22daf50c2265_337_gekko,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,337,100 Thieves,gekko,Initiator,2345,Boostio
6a2cd9d2-b105-44fc-a573-22daf50c2265_337_viper,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,337,100 Thieves,viper,Controller,727,bang
6a2cd9d2-b105-44fc-a573-22daf50c2265_337_fade,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,337,100 Thieves,fade,Initiator,2341,eeiu
6a2cd9d2-b105-44fc-a573-22daf50c2265_1611_raze,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,1611,Leviatán Esports,raze,Duelist,14,aspas
6a2cd9d2-b105-44fc-a573-22daf50c2265_1611_skye,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,1611,Leviatán Esports,skye,Initiator,2515,C0M
6a2cd9d2-b105-44fc-a573-22daf50c2265_1611_viper,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,1611,Leviatán Esports,viper,Controller,207,kiNgg
6a2cd9d2-b105-44fc-a573-22daf50c2265_1611_gekko,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,1611,Leviatán Esports,gekko,Initiator,2343,tex
6a2cd9d2-b105-44fc-a573-22daf50c2265_1611_harbor,6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,bind,1611,Leviatán Esports,harbor,Controller,74,Mazino
b1185c74-f70d-413f-a941-9240e9708890_337_raze,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,337,100 Thieves,raze,Duelist,296,Asuna
b1185c74-f70d-413f-a941-9240e9708890_337_astra,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,337,100 Thieves,astra,Controller,2361,Cryo
b1185c74-f70d-413f-a941-9240e9708890_337_gekko,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,337,100 Thieves,gekko,Initiator,2345,Boostio
b1185c74-f70d-413f-a941-9240e9708890_337_viper,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,337,100 Thieves,viper,Controller,727,bang
b1185c74-f70d-413f-a941-9240e9708890_337_fade,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,337,100 Thieves,fade,Initiator,2341,eeiu
b1185c74-f70d-413f-a941-9240e9708890_1611_raze,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,1611,Leviatán Esports,raze,Duelist,14,aspas
b1185c74-f70d-413f-a941-9240e9708890_1611_sova,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,1611,Leviatán Esports,sova,Initiator,2515,C0M
b1185c74-f70d-413f-a941-9240e9708890_1611_breach,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,1611,Leviatán Esports,breach,Initiator,207,kiNgg
b1185c74-f70d-413f-a941-9240e9708890_1611_cypher,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,1611,Leviatán Esports,cypher,Sentinel,2343,tex
b1185c74-f70d-413f-a941-9240e9708890_1611_omen,b1185c74-f70d-413f-a941-9240e9708890,2629393,split,1611,Leviatán Esports,omen,Controller,74,Mazino
c924abac-da36-42b3-b78f-f0c51fdb34f2_337_gekko,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,icebox,337,100 Thieves,gekko,Initiator,296,Asuna
c924abac-da36-42b3-b78f-f0c51fdb34f2_337_jett,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,icebox,337,100 Thieves,jett,Duelist,2361,Cryo
c924abac-da36-42b3-b78f-f0c51fdb34f2_337_killjoy,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,icebox,337,100 Thieves,killjoy,Sentinel,2345,Boostio
c924abac-da36-42b3-b78f-f0c51fdb34f2_337_viper,c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,icebox,337,100 Thieves,viper,Controller,727,bang
