team_id,team_name,map_name,agent,agent_role,times_picked,unique_players
1079,Sentinels,ascent,jett,Duelist,5,1
1611,Leviatán Esports,bind,harbor,Controller,1,1
1079,Sentinels,lotus,omen,Controller,9,2
96,G2 Esports,sunset,sova,Initiator,1,1
96,G2 Esports,split,omen,Controller,9,1
281,Evil Geniuses,split,chamber,Sentinel,1,1
281,Evil Geniuses,pearl,jett,Duelist,4,2
281,Evil Geniuses,pearl,astra,Controller,4,1
81,MIBR (1),lotus,raze,Duelist,6,3
337,100 Thieves,lotus,clove,Controller,1,1
99,FURIA,haven,breach,Initiator,4,3
79,Cloud9,fracture,clove,Controller,1,1
3412,LOUD (1),haven,jett,Duelist,2,1
337,100 Thieves,split,sage,Sentinel,3,1
337,100 Thieves,split,breach,Initiator,4,1
1079,Sentinels,split,tejo,Initiator,6,1
99,FURIA,split,omen,Controller,3,1
79,Cloud9,abyss,kay/o,Initiator,2,2
79,Cloud9,abyss,sova,Initiator,2,2
81,MIBR (1),abyss,cypher,Sentinel,2,1
96,G2 Esports,fracture,brimstone,Controller,2,1
79,Cloud9,ascent,viper,Controller,1,1
337,100 Thieves,sunset,omen,Controller,6,2
337,100 Thieves,ascent,kay/o,Initiator,4,1
1611,Leviatán Esports,ascent,viper,Controller,1,1
3412,LOUD (1),breeze,viper,Controller,1,1
281,Evil Geniuses,icebox,harbor,Controller,3,1
99,FURIA,split,yoru,Duelist,2,2
281,Evil Geniuses,sunset,omen,Controller,5,1
281,Evil Geniuses,breeze,jett,Duelist,1,1
281,Evil Geniuses,bind,brimstone,Controller,2,1
79,Cloud9,ascent,vyse,Sentinel,2,1
79,Cloud9,pearl,sova,Initiator,5,1
281,Evil Geniuses,fracture,brimstone,Controller,1,1
48457,KRÜ Esports,lotus,vyse,Sentinel,2,1
281,Evil Geniuses,lotus,tejo,Initiator,3,1
53367,2GAME eSports,pearl,fade,Initiator,1,1
3412,LOUD (1),pearl,yoru,Duelist,1,1
97,NRG,lotus,tejo,Initiator,3,1
99,FURIA,pearl,tejo,Initiator,2,2
79,Cloud9,haven,cypher,Sentinel,2,1
96,G2 Esports,fracture,waylay,Duelist,1,1
99,FURIA,icebox,tejo,Initiator,1,1
