game_id,series_id,sequence_number,map_name,team1_id,team1_name,team2_id,team2_name,team1_score,team2_score,winner_team_id,team1_start_side,started,finished,total_rounds
fa35f815-092e-4631-bb06-dff91f2217a0,2775964,2,ascent,79,Cloud9,1611,Leviatán Esports,13,3,79,defender,true,true,16
e8a576ee-9560-44d3-ac33-4fd0b3df07ad,2775968,1,lotus,96,G2 Esports,97,NRG,13,1,96,defender,true,true,14
12e68607-5767-415f-b349-abba0688132f,2775968,2,ascent,96,G2 Esports,97,NRG,13,6,96,attacker,true,true,19
1f2900ac-deff-4f20-a343-9ca46a1a8f2e,2775969,1,ascent,99,FURIA,1611,Leviatán Esports,4,13,1611,attacker,true,true,17
5ce71594-de35-414f-ba2a-297f05473c58,2775969,2,pearl,99,FURIA,1611,Leviatán Esports,5,13,1611,attacker,true,true,18
6230096f-b761-461a-9b4f-805406981e6c,2775970,1,pearl,79,Cloud9,81,MIBR (1),13,9,79,defender,true,true,22
e7d5c00d-93f9-48e5-abb6-2fee1c70125f,2775970,2,lotus,79,Cloud9,81,MIBR (1),13,15,81,attacker,true,true,28
a416b309-8310-49c2-a2ca-3f8c5be72622,2775970,3,haven,79,Cloud9,81,MIBR (1),11,13,81,defender,true,true,24
d020a707-feca-44c7-a72f-7f492c637972,2775972,1,lotus,1611,Leviatán Esports,96,G2 Esports,10,13,96,attacker,true,true,23
a6a70ec5-b34e-4016-9067-54c5f462926c,2775972,2,fracture,1611,Leviatán Esports,96,G2 Esports,13,11,1611,attacker,true,true,24
823775b0-c7f5-4ee1-bfe1-eca9eb05bf86,2775972,3,haven,1611,Leviatán Esports,96,G2 Esports,7,13,96,attacker,true,true,20
7aed6afc-c5e8-4a5a-b87f-d5659ba7acb0,2775973,1,lotus,99,FURIA,79,Cloud9,14,16,79,defender,true,true,30
2f818e02-6a0f-4516-88e2-25e136a0966e,2775973,2,pearl,99,FURIA,79,Cloud9,1,13,79,attacker,true,true,14
cf3b2d75-5225-4938-b869-5dc907abd896,2775976,1,haven,97,NRG,81,MIBR (1),6,13,81,defender,true,true,19
acdef2ec-c074-4c19-b01e-31c90ee877c2,2775976,2,icebox,97,NRG,81,MIBR (1),5,13,81,attacker,true,true,18
