player_id,player_name,agent,agent_role,games_played,total_kills,total_deaths,kd_ratio,total_headshots
2349,valyn,brimstone,Controller,11,193,154,1.25,125
77,keznitdeuS,reyna,Duelist,4,54,57,0.95,41
83,Klaus,sova,Initiator,3,40,42,0.95,30
48,heat,gekko,Initiator,3,42,43,0.98,35
14,aspas,phoenix,Duelist,1,12,14,0.86,14
303,NaturE,yoru,Duelist,1,13,17,0.76,13
866,yay,cypher,Sentinel,2,34,32,1.06,35
866,yay,jett,Duelist,6,121,107,1.13,67
77,keznitdeuS,yoru,Duelist,7,122,79,1.54,79
11334,Demon1,omen,Controller,4,49,56,0.88,52
30558,PA1NT,jett,Duelist,1,8,18,0.44,7
2837,artziN,gekko,Initiator,1,16,15,1.07,13
49,xand,sage,Sentinel,4,51,61,0.84,36
58,Saadhak,neon,Duelist,6,76,107,0.71,73
99073,Rich,gekko,Initiator,2,26,34,0.76,20
1812,cauanzin,skye,Initiator,2,30,36,0.83,28
14826,Sato,yoru,Duelist,8,181,124,1.46,163
709,BABYBAY,deadlock,Sentinel,1,12,10,1.2,8
32268,silentzz,jett,Duelist,2,44,26,1.69,18
10901,Virtyy,neon,Duelist,5,71,81,0.88,57
2513,brawk,vyse,Sentinel,3,54,36,1.5,35
1814,rglmeister,astra,Controller,3,37,40,0.93,27
10636,OXY,jett,Duelist,22,400,404,0.99,314
2512,johnqt,cypher,Sentinel,9,122,111,1.1,106
2343,tex,killjoy,Sentinel,25,376,373,1.01,352
2361,Cryo,chamber,Sentinel,4,63,42,1.5,32
94,Zellsis,killjoy,Sentinel,9,149,125,1.19,119
2345,Boostio,breach,Initiator,7,83,90,0.92,69
2340,s0m,brimstone,Controller,8,125,110,1.14,112
10612,v1c,brimstone,Controller,4,57,47,1.21,39
74432,FNS,vyse,Sentinel,4,46,57,0.81,39
206,Adverso,sova,Initiator,1,9,16,0.56,6
77,keznitdeuS,raze,Duelist,18,324,277,1.17,217
48,Heat,cypher,Sentinel,3,25,42,0.6,26
2431,nataNk,breach,Initiator,1,13,12,1.08,11
2351,JonahP,viper,Controller,25,349,342,1.02,265
2351,JonahP,kay/o,Initiator,13,172,188,0.91,134
2512,johnqt,kay/o,Initiator,3,40,46,0.87,37
306,Derrek,tejo,Initiator,9,127,138,0.92,115
