series_id,ingested_at,source_path,depth_level,games_count,rounds_count,status,error_message
2681823,2026-01-20 21:36:03.674965,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681823,4,2,5136,success,
2681824,2026-01-20 21:36:13.30789,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681824,4,3,5205,success,
2681826,2026-01-20 21:36:18.649023,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681826,4,2,5242,success,
2681830,2026-01-20 21:36:24.382083,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681830,4,2,5285,success,
2681831,2026-01-20 21:36:30.314275,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681831,4,2,5328,success,
2681834,2026-01-20 21:36:30.371934,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681834,2,3,5328,success,
2681836,2026-01-20 21:36:30.420752,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681836,2,2,5328,success,
2681837,2026-01-20 21:36:30.463576,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681837,2,2,5328,success,
2681838,2026-01-20 21:36:30.514167,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681838,2,3,5328,success,
2681810,2026-01-20 21:36:30.560863,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681810,2,2,5328,success,
2681814,2026-01-20 21:36:30.615438,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681814,2,3,5328,success,
2681818,2026-01-20 21:36:30.6601,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681818,2,2,5328,success,
2681821,2026-01-20 21:36:30.706064,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681821,2,2,5328,success,
2681822,2026-01-20 21:36:30.749515,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681822,2,2,5328,success,
2681827,2026-01-20 21:36:30.801736,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681827,2,3,5328,success,
2681829,2026-01-20 21:36:39.493472,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681829,4,3,5393,success,
2681832,2026-01-20 21:36:48.177775,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681832,4,3,5458,success,
2681835,2026-01-20 21:36:53.836175,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681835,4,2,5501,success,
2681839,2026-01-20 21:36:59.099179,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group B]\2681839,4,2,5540,success,
2843060,2026-01-20 21:37:08.40683,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843060,4,3,5610,success,
2843061,2026-01-20 21:37:13.215249,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843061,4,2,5645,success,
2843062,2026-01-20 21:37:22.197987,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843062,4,3,5713,success,
2843063,2026-01-20 21:37:31.340906,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843063,4,3,5780,success,
2843064,2026-01-20 21:37:40.07713,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843064,4,3,5846,success,
